date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:50:40	2378/2378	---M-Z	200	added ('OK')	text/html	etag:%22ad906f8fffc46e4d698a7faedc90c68d%22	https://readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082	E:/ds/down/ra/readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082.html	(from )
04:50:40	2378/2378	---M-Z	200	added ('OK')	text/html	etag:%22428363876fc642eb64abb68d9567b812%22	https://readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/product	E:/ds/down/ra/readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/product.html	(from )
04:50:41	2378/2378	---M-Z	200	added ('OK')	text/html	etag:%2242158de0702e388cd05cf5e7dd532dbf%22	https://readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/about	E:/ds/down/ra/readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/about.html	(from )
04:50:41	2378/2378	---M-Z	200	added ('OK')	text/html	etag:%220499d2557b5dfe1ee7dcf4c035e75d78%22	https://readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/pricing	E:/ds/down/ra/readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/pricing.html	(from )
04:50:41	2378/2378	---M-Z	200	added ('OK')	text/html	etag:%228dc4128fc3405a035f3a9fcc9b337ede%22	https://readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/features	E:/ds/down/ra/readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/features.html	(from )
04:50:41	2378/2378	---M-Z	200	added ('OK')	text/html	etag:%2275ac3c9933de9983766c9069cbb7caf2%22	https://readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/scenes	E:/ds/down/ra/readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/scenes.html	(from )
04:50:42	2378/2378	---M-Z	200	added ('OK')	text/html	etag:%22b5809a8bfbf6d0f9bd2801a345f018fb%22	https://readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/solutions	E:/ds/down/ra/readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/solutions.html	(from )
04:50:42	2378/2378	---M-Z	200	added ('OK')	text/html	etag:%22e3ae575c2a0b8181c8172720f7426504%22	https://readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/contact	E:/ds/down/ra/readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082/contact.html	(from )
04:50:42	263/263	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2010%20Jun%202026%2020:50:42%20GMT	https://readdy.cc/robots.txt		(from )
04:50:48	102025/102025	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2017:46:59%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	E:/ds/down/ra/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://readdy.cc/preview/3daea494-1206-4bd2-af49-7ce6ddff259e/10815082)
